Sampling	Lat	Long
Species	-17.669722	177.543889
Species	-14.251944	-170.66
Species	-17.487158	-149.910597
Species	38.56	-121.263611
Species	38.795399	-122.661997
Species	-31.358814	115.910546
Species	41.093347	-124.150146
Species	38.958721	-106.988085
Species	10.433333	-84
Species	30.860028	-83.319936
Species	30.730958	-83.293408
Species	40.498683	-74.567503
Species	-36.04329	-72.766432
Species	41.782054	-72.233304
Species	-32.974308	-69.358443
Species	28.100418	-17.224496
Species	6.956574	-5.289433
Species	43.318611	11.330556
Species	-28.9	17.733333
Species	68.35	18.816667
Species	8.4	21.25
Species	38.318159	28.097909
Species	18.334167	102.515
Species	39.966667	115.433333
Species	-34.329171	116.784543
Species	34.75	135.25
Species	34.996052	135.532239
Species	35.083333	135.783333
Species	-37.566667	145.1
Species	-29.6	152.266667
Species	-17.1	30.15
Species	-23.766667	-46.3
Species	36.723333	-2.169167
Species	-23.04514	-43.539795
Species	-23.276827	-46.949335
Species	16.735886	-92.851072
Species	28.297222	-111.418611
Species	-30.171467	17.945967
Species	33.935	-83.461
Species	-35.516667	138.8
Species	48.466749	-123.419133
Species	-0.55	-79.383333
Species	-9.616667	-74.933333
Species	0.516667	12.8
Species	-0.783333	-91.066667
Species	0.587248	-90.765854
Species	-0.816667	12.716667
Species	-0.016667	-78.683333
Species	-0.583333	-77.883333
Species	0.805453	-66.008844
Species	-2.916667	-59.966667
Species	-3.966667	-79.066667
Species	-1.066667	38.116667
Species	4.983333	116.866667
Species	5.067222	-53.053333
Species	6.090556	10.3025
Species	6.409556	80.503646
Species	6.499167	-58.218333
Species	6.75	-75.1
Species	-7.844046	-34.923872
Species	-8.040651	-35.197211
Species	-8.076664	-34.961637
Species	-8.369167	-36.083333
Species	9.15	-79.833333
Species	-1.85	121.466667
Species	1.166667	-77.966667
Species	1.166667	-77.966667
Species	1.35	103.8
Species	-1.85	121.466667
Species	10.220167	77.204139
Species	10.216667	-84.116667
Species	10.266667	-84.033333
Species	10.3	-84.783333
Species	10.300669	-84.795845
Species	10.4	-66.866667
Species	10.426614	-84.013527
Species	10.433333	-83.983333
Species	10.433333	-84
Species	10.45	-85.116667
Species	10.466667	-66.95
Species	10.55	-85.233333
Species	11.243025	-1.133814
Species	11.933333	-69.933333
Species	12.066667	79.883333
Species	12.5	-12.25
Species	12.566655	-81.705755
Species	-12.728333	-38.146944
Species	-12.816667	143.333333
Species	-12.916667	-38.316667
Species	-12.941633	-38.35476
Species	-12.983333	-41.333333
Species	12.988644	75.272597
Species	13.083333	77.566667
Species	-13.129889	-41.59475
Species	13.166667	-16.016667
Species	-13.2	-72.083333
Species	13.516667	-2.45
Species	-13.592233	-70.975608
Species	-23.261663	-46.978791
Species	13.733333	75.616667
Species	13.75	100.5
Species	-14.016667	-171.733333
Species	-14.274167	-47.919444
Species	14.703407	101.15297
Species	-28.060833	145.818611
Species	-15.866667	-47.85
Species	-15.135056	-39.001611
Species	-15.916667	-47.916667
Species	-15.5	49.766667
Species	15.6	99.333333
Species	15.754488	80.964357
Species	15.783333	-90.216667
Species	-15.864757	-47.846545
Species	-26.933333	152.833333
Species	16.60683	-24.267056
Species	17.815242	83.339629
Species	17	100.983333
Species	-17.447414	145.825206
Species	-17.25	-56.833333
Species	17.283333	101.516667
Species	18.105733	-97.754587
Species	17.7	82.3
Species	17.707863	82.286673
Species	17.705	82.289072
Species	17.707254	82.291333
Species	17.727944	73.836917
Species	-17.716667	-48.65
Species	17.76556	-64.754558
Species	17.952778	-66.831111
Species	17.969413	-66.829241
Species	17.7	82.3
Species	-18.168036	-43.340002
Species	18.5849	-95.076121
Species	18.332733	-70.952975
Species	-13.752857	49.225735
Species	-32.469227	152.293645
Species	-18.973033	136.789385
Species	18.268366	-65.880884
Species	-18.161808	-47.924002
Species	17.952826	-66.845305
Species	18.150993	-66.5704
Species	18.316667	-66.716667
Species	-18.316667	47.1
Species	18.333333	-97.466667
Species	18.3435	-66.753083
Species	18.487146	-95.015031
Species	15.903283	98.756586
Species	-20.060278	-44.032778
Species	18.833333	109.25
Species	-18.983333	-48.3
Species	-19.05	-48.35
Species	-19.41196	-39.8984
Species	-15.677134	50.205708
Species	19.120273	109.083905
Species	-19.208333	-43.340278
Species	-19.326512	-43.667344
Species	-19.354909	-43.630304
Species	19.333889	-99.140556
Species	19.314733	-99.177284
Species	-19.364498	-43.624276
Species	-19.362706	-43.616895
Species	19.5	-105.05
Species	19.512297	-96.946698
Species	19.503402	-105.046611
Species	19.499893	-105.046514
Species	19.497683	-105.046047
Species	19.558481	-105.112896
Species	19.5	-96.95
Species	-19.5	46.95
Species	19.501133	-105.045819
Species	19.516667	-105.066667
Species	-19.576778	-57.018833
Species	19.606312	-96.386955
Species	19.712222	-104.236111
Species	-19.783333	-43.316667
Species	19.49891	-105.04441
Species	-19.283333	-43.583333
Species	-2.963344	-59.92502
Species	-2.605341	-60.035749
Species	-2.964298	-59.923271
Species	-2.965991	-59.928056
Species	-20.684167	-56.786389
Species	-20.45	-54.616667
Species	-20.598763	-40.420867
Species	-20.683333	-42.45
Species	20.757222	-98.952222
Species	-20.783333	-42.833333
Species	20.867778	-89.624167
Species	-20.801944	-42.858611
Species	-22.824932	-47.112048
Species	21.124422	104.971022
Species	-22.179359	166.581404
Species	21.303753	-99.245573
Species	19.515833	-105.0425
Species	-21.146955	55.639078
Species	-17.681954	49.521407
Species	-21.166667	-47.8
Species	-21.166667	-47.85
Species	-21.25	-48.316667
Species	22.171159	-159.639547
Species	21.371255	-88.873599
Species	-21.415114	-41.092014
Species	21.583333	101.2
Species	-21.745556	-48.498056
Species	-17.284332	145.570161
Species	21.916667	101.25
Species	21.1125	104.956944
Species	22.166667	100.85
Species	22.2994	100.92135
Species	-22.383485	-49.681625
Species	-22.420326	-42.044221
Species	-23.435136	-51.965444
Species	-22.55	-43.45
Species	-22.566667	-48.516667
Species	22.602222	100.64111
Species	-22.733333	-44.6
Species	-22.816667	-47.116667
Species	-22.821459	-47.110326
Species	-22.872336	-47.077637
Species	-22.9	-47.05
Species	-22.783333	-49.116667
Species	-23.08055	-48.376462
Species	-23.240435	-46.917804
Species	23.302387	113.461693
Species	18.2599	109.538072
Species	-23.235561	-46.949103
Species	-23.232768	-46.93541
Species	-23.22976	-46.937086
Species	-23.234315	-46.935604
Species	23.14005	-99.229454
Species	-23.223812	-46.934811
Species	23.206063	104.816615
