community	lat	long	alt	plant_richness	effort	scale	biome	country	insularity	type	plant_origin	community_origin	prop
1	-53.1	73.533333	150	5	Full	Regional	Tundra	AustraliaHeardIsland	Island	Floristicsurvey	Native	Natural	0.99
2	-45.050001	168.8	1725	23	Limited	Local	Temperate_rain_forest	NewZealand	Island	Plantpollinatorinteractions	Native	Natural	0.913043478
3	-43.033333	171.75	580	34	Full	Local	Temperate_rain_forest	NewZealand	Island	Plantpollinatorinteractions	Alien	Natural	0.941176471
4	-36.600001	146.783333	1635	42	Limited	Regional	Temperate_seasonal_forest	Australia	Continent	Plantpollinatorinteractions	Native	Natural	0.976190476
5	-36.416667	148.333333	1940	43	Limited	Local	Boreal_forest	Australia	Continent	Plantpollinatorinteractions	Native	Natural	0.930232558
6	-34.166667	-69.7	3300	21	Limited	Local	Woodlandshrubland	Argentina	Continent	Plantpollinatorinteractions	Native	Natural	0.761904762
7	-34.066667	18.883333	150	56	Limited	Local	Tropical_seasonal_forestsavanna	SouthAfrica	Continent	Plantpollinatorinteractions	Native	Natural	0.892857143
8	-33.000001	-69.283333	1900	23	Limited	Local	Woodlandshrubland	Argentina	Continent	Plantpollinatorinteractions	Native	Natural	0.869565217
9	-32.533333	-68.95	1270	52	Full	Local	Woodlandshrubland	Argentina	Continent	Plantpollinatorinteractions	Native	Natural	0.942307692
10	-31.650001	-52.55	100	48	Limited	Local	Woodlandshrubland	Brazil	Continent	Floristicsurvey	Native	Natural	0.8125
11	-30.333333	-50.833333	70	105	Limited	Local	Woodlandshrubland	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.685714286
12	-30.000001	-51.3	3	65	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.830769231
13	-29.566667	17.95	1000	58	Full	Regional	Subtropical_desert	SouthAfrica	Continent	Plantpollinatorinteractions	Native	Natural	0.844827586
14	-27.616667	-66.316667	1000	15	Limited	Regional	Woodlandshrubland	Argentina	Continent	Floristicsurvey	Native	Natural	0.733333333
