lat	long	alt	plant_richness	country	effort	scale	biome	country	insularity	type	plant_origin	community_origin	Simp	Shan	Piel	Riq	Tmean_ERA5	PRCPTOT_ERA5	PET_ERA5	MODIS_NDVI
-53.1	73.533333	150	5	AustraliaHeardIsland	Full	Regional	Tundra	AustraliaHeardIsland	Island	Floristicsurvey	Native	Natural	0	0	0	1	-2.78839131	1170.712927	772.0182022	-0.020038017
-43.033333	171.75	580	34	NewZealand	Full	Local	Temperate_rain_forest	NewZealand	Island	Plantpollinatorinteractions	Alien	Natural	0.110726644	0.223718076	0.322756959	2	5.928950943	1825.653969	919.2808109	0.446958678
-34.166667	-69.7	3300	21	Argentina	Limited	Local	Woodlandshrubland	Argentina	Continent	Plantpollinatorinteractions	Native	Natural	0.380952381	0.668017819	0.608056023	3	-4.709159802	937.6667225	561.715994	0.019226446
-33.000001	-69.283333	1900	23	Argentina	Limited	Local	Woodlandshrubland	Argentina	Continent	Plantpollinatorinteractions	Native	Natural	0.287334594	0.462036909	0.666578358	2	6.025278202	1298.129003	1768.89084	0.252841322
-32.533333	-68.95	1270	52	Argentina	Full	Local	Woodlandshrubland	Argentina	Continent	Plantpollinatorinteractions	Native	Natural	0.108727811	0.220570036	0.318215298	2	13.53762305	914.387977	1571.582594	0.276073554
-31.650001	-52.55	100	48	Brazil	Limited	Local	Woodlandshrubland	Brazil	Continent	Floristicsurvey	Native	Natural	0.3046875	0.482577565	0.69621226	2	17.87376729	1403.484898	1747.850641	0.77606033
-30.333333	-50.833333	70	105	Brazil	Limited	Local	Woodlandshrubland	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.469859467	0.869790641	0.540431311	5	19.44758439	1545.186001	2049.387936	-1586.812454
-30.086389	-51.094167	100	66	Brazil	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.266758494	0.517883491	0.471397868	3	18.85702692	1558.919564	1850.154495	0.664676033
-30.000001	-51.3	3	65	Brazil	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.295384615	0.571265964	0.519988689	3	19.34799372	1557.082256	1715.166853	0.483607438
-29.566667	17.95	1000	58	SouthAfrica	Full	Regional	Subtropical_desert	SouthAfrica	Continent	Plantpollinatorinteractions	Native	Natural	0.262187872	0.431577221	0.622634316	2	16.6908213	164.5525533	2246.667376	0.152266116
-27.616667	-66.316667	1000	15	Argentina	Limited	Regional	Woodlandshrubland	Argentina	Continent	Floristicsurvey	Native	Natural	0.417777778	0.72987121	0.664357406	3	19.69801557	764.1742522	1566.714379	0.206304959
-22.883333	-48.483333	900	33	Brazil	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.543617998	0.913633497	0.831625048	3	19.26326609	1635.02599	2027.353136	0.52338595
-22.766667	-48.416667	550	252	Brazil	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.458817282	0.902644628	0.560844641	5	20.57695726	1397.41975	2210.526327	0.537375207
-22.733333	-44.6	1750	124	Brazil	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.425078044	0.736983883	0.67083164	3	17.20446069	1774.011182	4446.935397	0.759571901
-21.8	-41.433333	420	31	Brazil	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.472424558	0.834938704	0.602280964	4	23.79768106	1459.068345	2032.394494	0.566390909
-21.701111	-57.885	80	62	Brazil	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.122788762	0.283936267	0.258449928	3	24.55460461	1469.878106	3482.27545	0.47348595
-21.165278	-47.855556	575	283	Brazil	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	NA	Artificial	0.303562287	0.570479266	0.354458698	5	22.31311311	1347.562828	2327.92259	0.601386777
-20.544167	-54.398333	555	25	Brazil	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.4032	0.592953317	0.693147181	2	23.08478748	1547.730212	2306.482065	0.49044876
-19.581111	-57.039444	90	101	Brazil	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.281737085	0.611834875	0.380154382	5	25.39549974	1476.376238	2481.07197	0.669633884
-19.150001	-48.383333	800	256	Brazil	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Floristicsurvey	Native	Natural	0.428375244	0.778891331	0.56185133	4	22.33329606	1299.007594	2409.198332	0.568229752
-18.280556	-52.048056	820	270	Brazil	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.446556927	0.829568651	0.515439984	5	23.24589076	1393.411278	2447.099652	0.605415702
-15.933333	-47.883333	1100	91	Brazil	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.567322787	0.99480607	0.717600892	4	20.99052754	1393.22217	2515.946211	0.638084298
-15.766667	-56.083333	190	103	Brazil	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.533132246	0.996116849	0.718546419	4	25.87413842	1425.343366	2264.675689	0.590840496
-12.933333	-38.35	30	66	Brazil	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.463269054	0.839480554	0.605557216	4	25.28626256	1200.924591	3571.430422	0.290528099
-10.793611	-42.823611	400	40	Brazil	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.335	0.612869452	0.557857816	3	26.62924568	539.4365436	4200.403301	0.477387603
-9.942778	-38.988056	430	40	Brazil	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.30125	0.568423618	0.517401474	3	24.56906404	349.0988443	3599.5069	0.402476033
-7.133333	-34.85	45	78	Brazil	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Floristicsurvey	Native	Natural	0.426692965	0.821365153	0.510342864	5	26.10991231	1052.644442	2513.999975	0.557590083
-3.066667	-59.95	60	37	Brazil	Limited	Local	Tropical_rain_forest	Brazil	Continent	Floristicsurvey	Native	Natural	0.562454346	1.064703042	0.768020899	4	26.87826125	2822.322947	1759.912741	0.335934711
4.033333	113.833333	200	265	Malaysia	Full	Local	Tropical_rain_forest	Malaysia	Island	Plantpollinatorinteractions	Native	Natural	0.536504094	0.953117697	0.687529087	4	25.63072431	2492.622695	4676.711399	0.822381818
4.203917	9.17	650	45	Cameroon	Limited	Local	Tropical_rain_forest	Cameroon	Continent	Plantpollinatorinteractions	Native	Natural	0.410864198	0.700064827	0.637226467	3	15.41726468	3988.984073	1914.555018	0.349457851
4.203917	9.17	1100	51	Cameroon	Limited	Local	Tropical_rain_forest	Cameroon	Continent	Plantpollinatorinteractions	Native	Natural	0.435986159	0.748472232	0.539908589	4	15.41726468	3988.984073	1914.555018	0.349457851
4.203917	9.17	1450	39	Cameroon	Limited	Local	Tropical_rain_forest	Cameroon	Continent	Plantpollinatorinteractions	Native	Natural	0.374753452	0.697990044	0.503493387	4	15.41726468	3988.984073	1914.555018	0.349457851
4.203917	9.17	2200	34	Cameroon	Limited	Local	Tropical_rain_forest	Cameroon	Continent	Plantpollinatorinteractions	Native	Natural	0.371972318	0.634246377	0.577315931	3	15.41726468	3988.984073	1914.555018	0.349457851
5.583333	-61.716667	1350	49	Venezuela	Limited	Local	Tropical_rain_forest	Venezuela	Continent	Floristicsurvey	Native	Natural	0.526447314	1.010509291	0.563975974	6	19.6886004	2309.807636	1895.885806	0.741647107
8.35	80.35	100	42	SriLanka	Limited	Regional	Tropical_rain_forest	SriLanka	Island	Plantpollinatorinteractions	NA	Artificial	0.323129252	0.627031174	0.452307383	4	26.6272965	1058.836978	3165.464812	0.67741157
8.766667	-70.883333	3720	29	Venezuela	Limited	Local	Tropical_rain_forest	Venezuela	Continent	Plantpollinatorinteractions	Native	Natural	0.244946492	0.47875333	0.435780061	3	5.789014066	2263.255948	1564.727936	0.490820661
8.933333	-67.416667	74	28	Venezuela	Limited	Local	Tropical_seasonal_forestsavanna	Venezuela	Continent	Plantpollinatorinteractions	Native	Natural	0.50255102	0.789687447	0.718804491	3	27.19658715	1394.282416	3016.140032	0.411285124
11.05	8.633333	550	42	Nigeria	Limited	Local	Tropical_seasonal_forestsavanna	Nigeria	Continent	Floristicsurvey	Native	Natural	0.327664399	0.658390053	0.474928032	4	24.80717498	734.1443822	3394.149671	0.513695868
17.916667	-76.2	10	105	Jamaica	Full	Local	Tropical_seasonal_forestsavanna	Jamaica	Island	Plantpollinatorinteractions	Native	Natural	0.385487528	0.737878421	0.45846964	5	26.73147859	0	0	0.864111569
26.183333	-97.833333	20	55	USA	Limited	Local	Tropical_seasonal_forestsavanna	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.165289256	0.304636097	0.439496987	2	23.57546977	640.7228555	2635.416976	0.509971901
31.100001	30.933333	17	95	Egypt	Full	Regional	Subtropical_desert	Egypt	Continent	Plantpollinatorinteractions	Alien	Artificial	0.188365651	0.336495758	0.485460761	2	20.07514392	66.01291613	2726.904086	0.499707438
31.833333	92.733333	4600	21	China	Full	Local	Temperate_grassland	China	Continent	Floristicsurvey	Native	Natural	0	0	0	1	-2.886498433	881.0185956	604.6609801	0.285892562
32.166667	-111.016667	785	12	USA	Limited	Regional	Subtropical_desert	USA	Continent	Floristicsurvey	Native	Natural	0.291666667	0.566085739	0.515273445	3	20.57252926	261.9254262	2110.304673	0.205527273
32.383333	35.133333	440	143	PalestineWestBank	Limited	Regional	Subtropical_desert	PalestineWestBank	Continent	Plantpollinatorinteractions	Native	Natural	0.187784244	0.33570738	0.484323372	2	18.75599011	408.5600099	2589.120933	-24.44569174
