community	lat	long	alt	plant_richness	effort	scale	biome	country	insularity	type	plant_origin	community_origin	prop	Tmean_ERA5	PRCPTOT_ERA5	PET_ERA5	PET_TC	P_TC	Tmax_TC	Tmin_TC	MODIS_NDVI
1	-53.1	73.533333	150	5	Full	Regional	Tundra	AustraliaHeardIsland	Island	Floristicsurvey	Native	Natural	0.99	-2.78839131	1170.712927	772.0182022	0	856.7	-12.224998	-17.966665	-0.020038017
2	-45.050001	168.8	1725	23	Limited	Local	Temperate_rain_forest	NewZealand	Island	Plantpollinatorinteractions	Native	Natural	0.913043478	4.824210678	1365.710535	698.8925389	692.39996	3299.9	8.308335	-1.4666653	0.227256198
3	-43.033333	171.75	580	34	Full	Local	Temperate_rain_forest	NewZealand	Island	Plantpollinatorinteractions	Alien	Natural	0.941176471	5.928950943	1825.653969	919.2808109	871.60004	1494.2	13.308334	4.5583344	0.446958678
4	-36.600001	146.783333	1635	42	Limited	Regional	Temperate_seasonal_forest	Australia	Continent	Plantpollinatorinteractions	Native	Natural	0.976190476	12.61740191	1062.083595	6725.307851	1230.1	1050.2	20.258337	7.850002	0.653557851
5	-36.416667	148.333333	1940	43	Limited	Local	Boreal_forest	Australia	Continent	Plantpollinatorinteractions	Native	Natural	0.930232558	6.738281053	1121.915995	1891.928431	734.60004	1774.7	9.583335	0.85833484	0.549916529
6	-34.166667	-69.7	3300	21	Limited	Local	Woodlandshrubland	Argentina	Continent	Plantpollinatorinteractions	Native	Natural	0.761904762	-4.709159802	937.6667225	561.715994	676.10004	553.9	7.558335	-6.566664	0.019226446
7	-34.066667	18.883333	150	56	Limited	Local	Tropical_seasonal_forestsavanna	SouthAfrica	Continent	Plantpollinatorinteractions	Native	Natural	0.892857143	14.80189347	704.6912425	2278.556889	1323.5001	762.5	22.250002	11.366669	0.631464463
8	-33.000001	-69.283333	1900	23	Limited	Local	Woodlandshrubland	Argentina	Continent	Plantpollinatorinteractions	Native	Natural	0.869565217	6.025278202	1298.129003	1768.89084	1276.7001	281.1	17.600004	3.0166676	0.252841322
9	-32.533333	-68.95	1270	52	Full	Local	Woodlandshrubland	Argentina	Continent	Plantpollinatorinteractions	Native	Natural	0.942307692	13.53762305	914.387977	1571.582594	1391	275.9	21.76667	7.0500016	0.276073554
10	-31.650001	-52.55	100	48	Limited	Local	Woodlandshrubland	Brazil	Continent	Floristicsurvey	Native	Natural	0.8125	17.87376729	1403.484898	1747.850641	1119.8	1463.1	23.650003	13.683335	0.77606033
11	-30.333333	-50.833333	70	105	Limited	Local	Woodlandshrubland	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.685714286	19.44758439	1545.186001	2049.387936	1132.0001	1512.2	24.075005	15.3166685	-1586.812454
12	-30.000001	-51.3	3	65	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.830769231	19.34799372	1557.082256	1715.166853	1168.2001	1495.1	24.566668	15.59167	0.483607438
13	-29.566667	17.95	1000	58	Full	Regional	Subtropical_desert	SouthAfrica	Continent	Plantpollinatorinteractions	Native	Natural	0.844827586	16.6908213	164.5525533	2246.667376	1831.7	165.9	24.533333	11.291668	0.152266116
14	-27.616667	-66.316667	1000	15	Limited	Regional	Woodlandshrubland	Argentina	Continent	Floristicsurvey	Native	Natural	0.733333333	19.69801557	764.1742522	1566.714379	1589.1001	325.8	27.01667	11.958335	0.206304959
15	-24.200001	-48.433333	900	174	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.752873563	17.47532782	1840.738192	1924.552033	971.5	1409.5	23.04167	12.583335	0.69856281
16	-22.883333	-48.483333	900	33	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.57575757	19.26326609	1635.02599	2027.353136	1122.7999	1359.3	25.208334	13.108335	0.52338595
17	-22.800001	-47.033333	595	126	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Floristicsurvey	Native	Natural	0.761904762	20.43408873	1551.967615	2121.43223	1118.1001	1319.4	26.308336	14.633334	0.586820661
18	-22.766667	-48.416667	550	252	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.734126984	20.57695726	1397.41975	2210.526327	1162.8999	1311.9	26.875	14.725001	0.537375207
19	-22.733333	-44.6	1750	124	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.725806452	17.20446069	1774.011182	4446.935397	972.60004	1888	20.433338	8.466668	0.759571901
20	-21.8	-41.433333	420	31	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.677419355	23.79768106	1459.068345	2032.394494	1196.5	1096.9	28.533339	18.96667	0.566390909
21	-21.701111	-57.885	80	62	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.935483871	24.55460461	1469.878106	3482.27545	1490.2	1135.5	30.591665	19.36667	0.47348595
22	-21.533333	165.716667	152	102	Limited	Regional	Tropical_rain_forest	NewCaledonia	Island	Floristicsurvey	Native	Natural	0.774509804	19.27964418	1321.621472	5577.983583	1388	1866.5	25.449999	17.833334	0.876165287
23	-20.45	164.216667	210	97	Full	Regional	Tropical_rain_forest	NewCaledonia	Island	Plantpollinatorinteractions	Native	Natural	0.886597938	23.34199849	972.1006458	3021.589451	1565.6	1946.5	27.133333	19.766668	0.62618843
24	-21.165278	-47.855556	575	283	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions		Artificial	0.812720848	22.31311311	1347.562828	2327.92259	1269.5	1520.1	28.400002	16.125002	0.601386777
25	-20.700001	57.733333	600	86	Limited	Local	Tropical_rain_forest	Mauritius	Island	Plantpollinatorinteractions	Native	NaturalArtificial	0.686046512	NA	NA	NA	NA	NA	NA	NA	-3000
26	-20.544167	-54.398333	555	25	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.72	23.08478748	1547.730212	2306.482065	1429.2	1431.8	29.09167	17.925001	0.49044876
27	-20.416667	57.716667	600	14	Limited	Regional	Tropical_rain_forest	Mauritius	Island	Plantpollinatorinteractions	Native	Natural	0.928571429	23.0744499	1276.347594	2056.906371	1464.5	1537.8	27.325003	20.508333	0.542553719
28	-19.581111	-57.039444	90	101	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.851485149	25.39549974	1476.376238	2481.07197	1409.6	1148.2	31.025002	20.383333	0.669633884
29	-19.150001	-48.383333	800	256	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Floristicsurvey	Native	Natural	0.71875	22.33329606	1299.007594	2409.198332	1287.4	1556.3	28.366669	15.741669	0.568229752
30	-19.113333	-51.734167	470	45	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.777777778	23.70151229	1555.523293	2496.393959	1332.6	1493.6	29.441671	17.183338	0.452926446
31	-18.280556	-52.048056	820	270	Full	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.711111111	23.24589076	1393.411278	2447.099652	1315.6	1599.6	28.983332	16.950003	0.605415702
32	-15.933333	-47.883333	1100	91	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.593406593	20.99052754	1393.22217	2515.946211	1262.4001	1510.3	26.441671	14.991669	0.638084298
33	-15.766667	-56.083333	190	103	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.640776699	25.87413842	1425.343366	2264.675689	1280.7	1432.2	31.175001	19.625002	0.590840496
34	-12.933333	-38.35	30	66	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.696969697	25.28626256	1200.924591	3571.430422	1389.1	1903.8	28.575003	22.133337	0.290528099
35	-10.793611	-42.823611	400	40	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.8	26.62924568	539.4365436	4200.403301	1551.8999	626.8	32.875	19.01667	0.477387603
36	-9.942778	-38.988056	430	40	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.825	24.56906404	349.0988443	3599.5069	1425.4	454.3	29.241669	18.058334	0.402476033
37	-7.133333	-34.85	45	78	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Floristicsurvey	Native	Natural	0.730769231	26.10991231	1052.644442	2513.999975	1511.7999	1913.9	29.61667	21.800003	0.557590083
38	-3.066667	-59.95	60	37	Limited	Local	Tropical_rain_forest	Brazil	Continent	Floristicsurvey	Native	Natural	0.621621622	26.87826125	2822.322947	1759.912741	1141.7001	2449.7	31.383331	23.016668	0.335934711
39	-3.066667	37.35	1005	39	Full	Regional	Tropical_seasonal_forestsavanna	Tanzania	Continent	Plantpollinatorinteractions		NaturalArtificial	0.846153846	5.052077558	3252.403964	1763.090079	38.500004	1571.6	1.4833342	-6.6999993	-0.010714876
40	-3.066667	37.35	1590	78	Full	Regional	Tropical_seasonal_forestsavanna	Tanzania	Continent	Plantpollinatorinteractions		NaturalArtificial	0.833333333	5.052077558	3252.403964	1763.090079	38.500004	1571.6	1.4833342	-6.6999993	-0.010714876
41	-3.066667	37.35	2295	6	Full	Regional	Tropical_seasonal_forestsavanna	Tanzania	Continent	Plantpollinatorinteractions		NaturalArtificial	0.833333333	5.052077558	3252.403964	1763.090079	38.500004	1571.6	1.4833342	-6.6999993	-0.010714876
42	-3.066667	37.35	2920	9	Full	Regional	Tropical_seasonal_forestsavanna	Tanzania	Continent	Plantpollinatorinteractions		NaturalArtificial	0.99	5.052077558	3252.403964	1763.090079	38.500004	1571.6	1.4833342	-6.6999993	-0.010714876
43	-3.066667	37.35	3880	3	Full	Regional	Tropical_seasonal_forestsavanna	Tanzania	Continent	Plantpollinatorinteractions		NaturalArtificial	0.99	5.052077558	3252.403964	1763.090079	38.500004	1571.6	1.4833342	-6.6999993	-0.010714876
44	-3.066667	37.35	4135	9	Full	Regional	Tropical_seasonal_forestsavanna	Tanzania	Continent	Plantpollinatorinteractions		NaturalArtificial	0.99	5.052077558	3252.403964	1763.090079	38.500004	1571.6	1.4833342	-6.6999993	-0.010714876
45	-0.616667	-90.3	305	47	Limited	Regional	Tropical_rain_forest	EcuadorGalÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¡pagosIsland	Island	Floristicsurvey	Native	Natural	0.808510638	22.92043752	636.1966027	2405.77834	1253.6001	287.5	25.633337	18.841667	0.515723967
46	0.283333	37.866667	1800	81	Limited	Local	Tropical_seasonal_forestsavanna	Kenya	Continent	Plantpollinatorinteractions	Native	Natural	0.802469136	17.59418985	860.254109	6396.151856	1405.8	1920.4	26.05834	10.666669	0.563819835
47	0.283333	34.9	1600	57	Full	Regional	Tropical_seasonal_forestsavanna	Kenya	Continent	Plantpollinatorinteractions		NaturalArtificial	0.894736842	18.87465525	1848.318048	3538.507785	1540.6	1796.1	28.64167	12.025002	0.841872725
48	4.033333	113.833333	200	265	Full	Local	Tropical_rain_forest	Malaysia	Island	Plantpollinatorinteractions	Native	Natural	0.618867925	25.63072431	2492.622695	4676.711399	1346.1	3254.2	30.933334	23.608332	0.822381818
49	5.000001	117.833333	100	40	Limited	Local	Tropical_rain_forest	Malaysia	Island	Plantpollinatorinteractions	Native	Natural	0.675	23.98210764	2662.785031	3218.480653	1383.4	2283.1	29.975004	22.608335	0.843912394
50	5.583333	-61.716667	1350	49	Limited	Local	Tropical_rain_forest	Venezuela	Continent	Floristicsurvey	Native	Natural	0.632653061	19.6886004	2309.807636	1895.885806	1333.5	2329.1	27.066671	16.800003	0.741647107
51	8.191694	37.05925	1550	135	Limited	Regional	Subtropical_desert	Ethiopia	Continent	Plantpollinatorinteractions		NaturalArtificial	0.881481481	18.17965875	2748.891614	5941.702705	1417.7999	1707.4	27.675003	12.058333	0.691871901
52	8.35	80.35	100	42	Limited	Regional	Tropical_rain_forest	SriLanka	Island	Plantpollinatorinteractions		Artificial	0.80952381	26.6272965	1058.836978	3165.464812	1635.1998	1336.4	31.90833	23.308336	0.67741157
53	8.666667	77.55	1250	81	Limited	Local	Tropical_rain_forest	India	Continent	Plantpollinatorinteractions	Native	Natural	0.716049383	28.10242664	921.3967545	2799.871191	1708.5001	916.8	32.850002	24.650003	0.520899174
54	8.766667	-70.883333	3720	29	Limited	Local	Tropical_rain_forest	Venezuela	Continent	Plantpollinatorinteractions	Native	Natural	0.862068966	5.789014066	2263.255948	1564.727936	1032.6	1015.5	15.891667	4.6333346	0.490820661
55	8.933333	-67.416667	74	28	Limited	Local	Tropical_seasonal_forestsavanna	Venezuela	Continent	Plantpollinatorinteractions	Native	Natural	0.571428571	27.19658715	1394.282416	3016.140032	1651.6998	1322.1	33.3	22.983335	0.411285124
56	11.05	8.633333	550	42	Limited	Local	Tropical_seasonal_forestsavanna	Nigeria	Continent	Floristicsurvey	Native	Natural	0.785714286	24.80717498	734.1443822	3394.149671	1826.4	1013.8	32.2	18.758333	0.513695868
57	14.166667	121.216667	145	52	Limited	Regional	Tropical_rain_forest	Philippines	Island	Plantpollinatorinteractions		NaturalArtificial	0.826923077	25.97772985	0	0	1284.2999	1942.9	30.925001	23.075003	0.829795868
58	17.916667	-76.2	10	105	Full	Local	Tropical_seasonal_forestsavanna	Jamaica	Island	Plantpollinatorinteractions	Native	Natural	0.761904762	26.73147859	0	0	1555.1	1794.6	29.425003	23.916666	0.864111569
59	22.250001	114.183333	30	80	Limited	Regional	Tropical_seasonal_forestsavanna	HongKong	Island	Plantpollinatorinteractions	Native	Natural	0.825	21.98285188	1769.725742	2720.090601	1189.4	2051.6	24.766668	19.941668	0.620651238
60	22.2666667	89.199444	3	11	Limited	Local	Tropical_seasonal_forestsavanna	Bangladesh	Continent	Plantpollinatorinteractions	Native	Natural	0.818181818	25.97864636	1799.272168	1744.56348	1412.0001	1883.5	30.949999	22.266668	0.36597686
61	26.15	-97.983333	30	285	Full	Local	Tropical_seasonal_forestsavanna	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.915789474	23.71520189	592.4218176	2340.142086	1613.5001	613.5	29.150002	17.816668	0.426947934
62	26.183333	-97.833333	20	55	Limited	Local	Tropical_seasonal_forestsavanna	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.909090909	23.57546977	640.7228555	2635.416976	1584.8	647	28.608332	17.758337	0.509971901
63	26.183333	-97.833333	20	29	Limited	Local	Tropical_seasonal_forestsavanna	USA	Continent	Plantpollinatorinteractions	Native	Artificial	0.896551724	23.57546977	640.7228555	2635.416976	1584.8	647	28.608332	17.758337	0.509971901
64	27.0025	100.1825	3235	31	Limited	Local	Temperate_grassland	China	Continent	Plantpollinatorinteractions	Native	Natural	0.935483871	7.793107359	1477.190055	1938.568035	747.4	800.4	12.233335	0.9000028	0.717690083
65	27.002778	100.201389	2725	40	Limited	Local	Temperate_grassland	China	Continent	Plantpollinatorinteractions	Native	Natural	0.9	7.793107359	1477.190055	1938.568035	747.4	800.4	12.233335	0.9000028	0.528857851
66	27.015556	100.171389	3670	33	Limited	Local	Temperate_grassland	China	Continent	Plantpollinatorinteractions	Native	Natural	0.818181818	7.793107359	1477.190055	1938.568035	747.4	800.4	12.233335	0.9000028	0.672822314
67	27.028056	100.184167	3910	27	Limited	Local	Temperate_grassland	China	Continent	Plantpollinatorinteractions	Native	Natural	0.888888889	7.793107359	1477.190055	1938.568035	747.4	800.4	12.233335	0.9000028	0.476904132
