prop	zone
0.711111111	1tropical
0.935483871	1tropical
0.851485149	1tropical
0.72	1tropical
0.618867925	1tropical
0.808510638	1tropical
0.825	1tropical
0.757225434	1tropical
0.640776699	1tropical
0.71875	1tropical
0.733333333	1tropical
0.796747967	1tropical
0.844827586	1tropical
0.632653061	1tropical
0.725806452	1tropical
0.571428571	1tropical
0.814814815	1tropical
0.697674419	1tropical
0.909090909	1tropical
0.896551724	1tropical
0.915789474	1tropical
0.7	1tropical
0.742063492	1tropical
1	1tropical
0.928571429	1tropical
0.771428571	1tropical
0.606060606	1tropical
0.80952381	1tropical
0.716049383	1tropical
0.886597938	1tropical
0.894736842	1tropical
1	1tropical
1	1tropical
1	1tropical
1	1tropical
1	1tropical
0.80952381	1tropical
0.881481481	1tropical
0.825	1tropical
0.8	1tropical
0.777777778	1tropical
0.696969697	1tropical
0.677419355	1tropical
0.862068966	1tropical
0.846153846	1tropical
0.743589744	1tropical
0.593406593	1tropical
0.819787986	1tropical
0.823834197	1tropical
0.784313725	1tropical
0.846153846	1tropical
0.833333333	1tropical
0.833333333	1tropical
1	1tropical
1	1tropical
1	1tropical
0.9	1tropical
0.888888889	1tropical
0.935483871	1tropical
0.818181818	1tropical
0.621621622	1tropical
0.869565217	1tropical
0.857142857	1tropical
0.785714286	1tropical
0.851851852	1tropical
0.740740741	1tropical
0.923076923	1tropical
0.818181818	1tropical
0.793103448	1tropical
0.492537313	1tropical
0.733333333	1tropical
0.705882353	1tropical
0.769230769	1tropical
0.764705882	1tropical
0.976190476	2subtropical
0.615384615	2subtropical
0.9375	2subtropical
0.685714286	2subtropical
0.893939394	2subtropical
0.869565217	2subtropical
0.761904762	2subtropical
0.942307692	2subtropical
0.8125	2subtropical
0.833333333	2subtropical
0.884210526	2subtropical
0.895104895	2subtropical
0.930232558	2subtropical
0.583333333	2subtropical
0.898876404	2subtropical
0.9	2subtropical
0.931818182	2subtropical
0.846153846	2subtropical
0.868421053	2subtropical
0.888888889	2subtropical
0.902439024	2subtropical
0.947368421	2subtropical
0.952380952	2subtropical
0.777777778	2subtropical
0.806451613	2subtropical
0.977777778	2subtropical
0.892857143	2subtropical
0.830769231	2subtropical
0.976190476	2subtropical
0.985915493	2subtropical
0.944444444	2subtropical
1	2subtropical
0.904761905	2subtropical
0.905882353	2subtropical
0.848484848	2subtropical
0.939393939	2subtropical
0.947368421	2subtropical
0.961538462	2subtropical
0.769230769	3temperate
0.944444444	3temperate
0.882352941	3temperate
0.869565217	3temperate
0.96	3temperate
0.9375	3temperate
0.6875	3temperate
1	3temperate
0.925925926	3temperate
0.911764706	3temperate
0.827586207	3temperate
0.904761905	3temperate
0.888888889	3temperate
0.857142857	3temperate
0.866666667	3temperate
0.934210526	3temperate
0.913043478	3temperate
1	3temperate
0.75	3temperate
0.875	3temperate
0.916666667	3temperate
0.954545455	3temperate
1	3temperate
0.915966387	3temperate
0.907894737	3temperate
0.891089109	3temperate
0.953488372	3temperate
0.93442623	3temperate
0.941605839	3temperate
0.939393939	3temperate
0.952380952	3temperate
0.914893617	3temperate
0.8125	3temperate
0.777777778	3temperate
0.863636364	3temperate
0.941176471	3temperate
0.888888889	3temperate
0.931034483	3temperate
0.974358974	3temperate
1	3temperate
1	3temperate
0.925925926	3temperate
0.925373134	3temperate
0.930232558	4arctic
0.923076923	4arctic
0.941176471	4arctic
1	4arctic
0.96875	4arctic
0.916666667	4arctic
1	4arctic
